filename,start,end,content,techniques,persuasion_strategies,Attack_on_Reputation,Justification,Distraction,Simplification,Call,Manipulative_Wording
20231208_URW_BG_78.txt,7786,7881,"Помощта за Украйна е в пълно съответствие с международното право, включително с Устава на ООН.",[],[],False,False,False,False,False,False
20240321_URW_BG_82.txt,5614,5624,Има и още.,[],[],False,False,False,False,False,False
20240726_EUZ_BG_56.txt,4657,4853,"Следователно, когато ние сме защитавали позицията, че първо трябва да се разработи този анализ, сме спазвали Коалиционното си споразумение с „Продължаваме Промяната – Демократична България“ и БСП.",[],[],False,False,False,False,False,False
20240704_URW_BG_20.txt,1452,1493,И от 2018 г. до 2024 г. нещо случи ли се?,['Doubt'],['Attack_on_Reputation'],True,False,False,False,False,False
20231208_URW_BG_78.txt,3872,4014,"Най-важният абзац: „Ако Турция ще следва само и единствено западните военни доктрини, ще се натъкне на сериозни пропуски в отбраната в бъдеще.",['Red_Herring'],['Distraction'],False,False,True,False,False,False
20240221_URW_BG_87.txt,504,640,"Това странно напомня на една стара шопска поговорка: „Ще си изгоря къщата, за да изгори на комшията, плевнята.“ Но Денков не спря дотам.",['Questioning_the_Reputation'],['Attack_on_Reputation'],True,False,False,False,False,False
20240221_URW_BG_87.txt,3667,3833,"И това предателство веднага е осъзнато, калкулирано, сметнато и вкарано в употреба, защото той имаше една конкретна цел и конкретна мишена и тази мишена се пробуди.","['Questioning_the_Reputation', 'Repetition']","['Attack_on_Reputation', 'Manipulative_Wording']",True,False,False,False,False,True
20240726_EUZ_BG_51.txt,3177,3239,"И си има картели, които всички ги знаят, но не са установени.",['Questioning_the_Reputation'],['Attack_on_Reputation'],True,False,False,False,False,False
20240329_URW_BG_80.txt,4023,4136,"Това е едно от неприятните следствия, идващи за нашите въоръжени сили след унищожаването на „Бета“ – Червен бряг.",[],[],False,False,False,False,False,False
20240726_EUZ_BG_56.txt,1997,2225,"За да не излезе, че правя политическо изказване от името на парламентарна група, ще цитирам това, което каза Международният валутен фонд преди няколко месеца на среща в Народното събрание с представителите на Бюджетната комисия.",['Appeal_to_Authority'],['Justification'],False,True,False,False,False,False
20231208_URW_BG_73.txt,5271,5321,"Колеги, реплики може да направите и от трибуната.",[],[],False,False,False,False,False,False
20240228_URW_BG_85.txt,6662,6712,Държавата ни буквално отива по дяволите в момента!,"['Appeal_to_Time', 'Loaded_Language', 'Appeal_to_Fear-Prejudice']","['Justification', 'Call', 'Manipulative_Wording']",False,True,False,False,True,True
20240327_EUZ_BG_97.txt,4904,4979,"Въобще няма отношение към инфлация, статистика, към финанси и така нататък.",['Questioning_the_Reputation'],['Attack_on_Reputation'],True,False,False,False,False,False
trail_raw_BG_13.txt,3224,3297,"Ето толкова му е неговата далаверка, но той затова е пратен – да е клоун.","['Questioning_the_Reputation', 'Name_Calling-Labeling']",['Attack_on_Reputation'],True,False,False,False,False,False
20240216_URW_BG_93.txt,2259,2319,"И тук въпросът е: като убихме българските села, станахме ли","['Loaded_Language', 'Doubt']","['Attack_on_Reputation', 'Manipulative_Wording']",True,False,False,False,False,True
20240216_URW_BG_95.txt,2553,2640,"Това искате за пореден път да скриете какви дарения ще правите, защото това са дарения.","['Exaggeration-Minimisation', 'Questioning_the_Reputation']","['Attack_on_Reputation', 'Manipulative_Wording']",True,False,False,False,False,True
20240904_EUZ_BG_47.txt,4927,4988,"АЛЕКСАНДЪР НЕНКОВ (ГЕРБ-СДС): Благодаря, госпожо Председател.",[],[],False,False,False,False,False,False
20240704_URW_BG_25.txt,5678,5785,"Колеги, сега доказвате, че вътре наистина има неща, от които Ви е страх, и го показвате на хората директно.",['Causal_Oversimplification'],['Simplification'],False,False,False,True,False,False
20240726_EUZ_BG_50.txt,677,830,"Вижте, когато се вземат държавнически решения – дори когато се качваш на стълба, когато един самолет излита, знаете ли какво първо трябва да се предвиди?",['Whataboutism'],['Distraction'],False,False,True,False,False,False
20240327_EUZ_BG_96.txt,1435,1596,"В този контекст нашите притеснения и въпроси, които поставихме пред председателя на Еврогрупата, в много голяма степен зависят от ръководената от Вас институция.",[],[],False,False,False,False,False,False
20240801_GW_BG_37.txt,1723,1999,"В самия отчет трябва да се добави и описание на ролите на управители на надзорните органи във връзка с въпросите по устойчивостта, както на техните експертни познания и уменията им във връзка с изпълнението на тази роля или на достъпа им до такива експертни познания и умения.",[],[],False,False,False,False,False,False
20240726_EUZ_BG_51.txt,7304,7407,"Даже няма да коментирам абсурдните лъжи, които се казаха тук от един от депутатите на ПП-ДБ – Димитров.","['Questioning_the_Reputation', 'Name_Calling-Labeling', 'Repetition']","['Attack_on_Reputation', 'Manipulative_Wording']",True,False,False,False,False,True
20240321_URW_BG_82.txt,4544,4552,Моля Ви!,[],[],False,False,False,False,False,False
20240904_EUZ_BG_47.txt,5923,5934,Има кворум.,[],[],False,False,False,False,False,False
20240627_EUZ_BG_64.txt,803,991,"Приходната част – очаквахме повече от нея, защото най-малкото едно е да се изпълнява, друго е, както Вие казахте, че през второто тримесечие се наваксва изоставането от първото тримесечие.",[],[],False,False,False,False,False,False
20240726_EUZ_BG_50.txt,4769,4795,ИВАЙЛО ШОТЕВ: Имаме право!,[],[],False,False,False,False,False,False
20240904_EUZ_BG_41.txt,3846,3900,"Не се крийте, защото нямате никаква представа за нищо.",['Questioning_the_Reputation'],['Attack_on_Reputation'],True,False,False,False,False,False
20240704_URW_BG_21.txt,2683,2764,"Днес акцентът на изслушването е точно върху живата сила – въоръжена, невъоръжена.",[],[],False,False,False,False,False,False
20240726_EUZ_BG_49.txt,2364,2428,"Влизането на Хърватия в еврозоната беше сериозен, колеги, успех.",[],[],False,False,False,False,False,False
20240430_EUZ_BG_39.txt,5198,5600,"Този закон е изключително важен и искам да напомня на всички присъстващи в залата и особено на тези, които изключително настоятелно желаят неговата промяна, че когато той беше приеман и предложен именно от БСП през 2009 г. – може би колегите от ВЪЗРАЖДАНЕ не знам кои партии са обикаляли, какво са прави и изобщо дали са се интересували от политика, но не знам дали разбират основния замисъл на Закона.","['Obfuscation-Vagueness-Confusion', 'Doubt']","['Attack_on_Reputation', 'Manipulative_Wording']",True,False,False,False,False,True
20240704_URW_BG_22.txt,3217,3457,"Тук в тази зала ги изкарахме и двамата на някакво изслушване и трябваше да им задаваме около 30 или 40 минути един и същи въпрос: каква е позицията на България по изявлението на Макрон и какво е казал Тагарев, който е бил там на тази среща?",['Doubt'],['Attack_on_Reputation'],True,False,False,False,False,False
20240726_EUZ_BG_50.txt,0,62,"ИВАЙЛО ЧОРБОВ (ВЪЗРАЖДАНЕ): Благодаря Ви, госпожо Председател.",[],[],False,False,False,False,False,False
20240801_GW_BG_37.txt,2545,2629,"Равно третиране и равни възможности за всички, включително равенство между половете.",['Appeal_to_Values'],['Justification'],False,True,False,False,False,False
trail_raw_BG_7.txt,117,188,"Беше време през 2020 г. на протести, гражданска енергия, пълни площади.",[],[],False,False,False,False,False,False
20240301_SHG_BG_59.txt,63,162,"Уважаеми господин Министър, аз желая конкретно да задам въпроса за осемнадесетте сирийски граждани.",[],[],False,False,False,False,False,False
20240405_IHC_BG_34.txt,2423,2448,ВЪЗРАЖДАНЕ не смята така!,['Slogans'],['Call'],False,False,False,False,True,False
20240726_EUZ_BG_51.txt,2077,2162,"Това е същата глупост, като да се каже, че ако си в еврозоната, икономиката ти расте.","['False_Equivalence', 'Causal_Oversimplification']",['Simplification'],False,False,False,True,False,False
20240704_URW_BG_29.txt,3130,3446,"Основните теми от дневния ред са свързани с подкрепата за Украйна – укрепването на възпиращия и отбранителен потенциал на Алианса, и задълбочаване на партньорствата на НАТО със страните от Азиатско-тихоокеанския регион, Австралия, Нова Зеландия, Япония и Република Корея, както и с партньорите от южното направление.",[],[],False,False,False,False,False,False
20240216_URW_BG_88.txt,2279,2380,Дайте пари от джобовете си и недейте да обяснявате как този законопроект е за доброволно финансиране.,['Appeal_to_Hypocrisy'],['Attack_on_Reputation'],True,False,False,False,False,False
20240216_URW_BG_90.txt,1171,1215,Популизъм било да говорим за детска болница.,['Appeal_to_Hypocrisy'],['Attack_on_Reputation'],True,False,False,False,False,False
20240301_SHG_BG_58.txt,1006,1090,"И най-вече – какъв е статутът на тези върнати граждани, дали всичките са неосъждани?",['Doubt'],['Attack_on_Reputation'],True,False,False,False,False,False
20240801_GW_BG_37.txt,6265,6375,"Господин Тодоров, имате думата за реплика. (Реплика от народния представител Йордан Тодоров: „За изказване.“)",[],[],False,False,False,False,False,False
20240704_URW_BG_24.txt,4959,5140,"Ще Ви помоля да отговорите на този въпрос, за да предотвратим разгръщането във времето на поредната популистка кампания, чиято цел е само и единствено да плаши българското общество.","['Name_Calling-Labeling', 'Straw_Man']","['Attack_on_Reputation', 'Distraction']",True,False,True,False,False,False
20240726_EUZ_BG_49.txt,3284,3397,"Така че, колеги, няма разумна, няма сериозна причина при възможност 1 юли ние да отлагаме влизането в еврозоната.","['Conversation_Killer', 'Appeal_to_Time']",['Call'],False,False,False,False,True,False
20240216_URW_BG_88.txt,1069,1383,"Заявяваме, че ще направим такива, включително заявяваме какви точно ще бъдат – и технически, и редакционни, разбира се, това по никакъв начин няма да промени нашата позиция, която е срещу ратификацията на този законопроект, който подарява поредната сума пари на една чужда държава, повтарям и натъртвам – подарява.","['Exaggeration-Minimisation', 'Repetition']",['Manipulative_Wording'],False,False,False,False,False,True
20240327_EUZ_BG_96.txt,5544,5734,"Този разход директно ще увеличи планирания дефицит над тавана от 3% от БВП, освен ако не стане някакво чудо и внезапно Министерството на финансите увеличи бюджетните приходи със същата сума.","['Consequential_Oversimplification', 'Exaggeration-Minimisation']","['Simplification', 'Manipulative_Wording']",False,False,False,True,False,True
20240216_URW_BG_94.txt,132,315,"Нека да си припомним, както каза и господин Костадинов преди малко, че България и българският народ винаги са били съчувстващи към останалите народи, които са в страдание и във война.",['Appeal_to_Values'],['Justification'],False,True,False,False,False,False
20240430_GW_BG_38.txt,4387,4489,"Въпросът е дали искате да го направите и ако не го правите, какъв е мотивът Ви, за да не го правите?!",['Doubt'],['Attack_on_Reputation'],True,False,False,False,False,False
20240417_URW_BG_79.txt,8811,8862,"Не вярваме и на тях обаче, няма какво да се лъжем.",['Doubt'],['Attack_on_Reputation'],True,False,False,False,False,False
20240221_URW_BG_87.txt,0,120,КОСТАДИН КОСТАДИНОВ: Миналата седмица лицето Николай Денков направи две изключително куислинговски изявления и действия.,['Name_Calling-Labeling'],['Attack_on_Reputation'],True,False,False,False,False,False
20240726_EUZ_BG_52.txt,78,130,Според експерти имало пропуснати ползи от 1 милиард.,['Doubt'],['Attack_on_Reputation'],True,False,False,False,False,False
20240228_URW_BG_85.txt,497,783,"Някак си вече свикнахме да ставаме свидетели на подобни срамни навеждания от страна на българските държавници и политици в посока всяка една велика сила, но когато започнат да се случват и по отношение на такива проблемни държави, вече някак си като че ли това минава всякакви граници.","['Exaggeration-Minimisation', 'Loaded_Language', 'Obfuscation-Vagueness-Confusion', 'Name_Calling-Labeling']","['Attack_on_Reputation', 'Manipulative_Wording']",True,False,False,False,False,True
20231208_URW_BG_78.txt,5194,5477,"Стана нужно подготвянето на пълноспектърна война и за стратегически методи на интелигентната сила, тоест, ако България следва примера на регионалната сила, би трябвало ние да не се водим от западните военни доктрини, защото те ще доведат до сериозни пропуски в отбраната и в бъдеще.“",['Red_Herring'],['Distraction'],False,False,True,False,False,False
trail_raw_BG_13.txt,1644,1691,Но другите страдат от липса на мъжко поведение.,"['Questioning_the_Reputation', 'Appeal_to_Values']","['Attack_on_Reputation', 'Justification']",True,True,False,False,False,False
20240430_GW_BG_38.txt,5223,5255,Ще Ви кажа защо говоря за Плана.,[],[],False,False,False,False,False,False
