,ID,topic
0,pl_abortion_11_04_2024_n01.txt,Abortion
1,pl_abortion_11_04_2024_n02.txt,Abortion
2,pl_abortion_11_04_2024_n03.txt,Abortion
3,pl_abortion_11_04_2024_n04.txt,Abortion
4,pl_abortion_11_04_2024_n05.txt,"Abortion, Demographic"
5,pl_abortion_11_04_2024_n06.txt,Abortion
6,pl_abortion_11_04_2024_n07.txt,Abortion
7,pl_abortion_11_04_2024_n08.txt,Abortion
8,pl_abortion_11_04_2024_n09.txt,"Abortion, Demographic"
9,pl_abortion_11_04_2024_n10.txt,Abortion
10,pl_abortion_11_04_2024_n11.txt,"Abortion, Demographic"
11,pl_abortion_11_04_2024_n12.txt,Abortion
12,pl_abortion_11_04_2024_n13.txt,Abortion
13,pl_abortion_11_04_2024_n14.txt,"Abortion, Demographic"
14,pl_current_affairs_09_01_2025_n01.txt,Demographic
15,pl_current_affairs_09_01_2025_n02.txt,Climate change
16,pl_current_affairs_09_01_2025_n03.txt,"Climate change, Defense"
17,pl_defence_07_03_2025_n01.txt,Defense
18,pl_defence_07_03_2025_n02.txt,"External affairs, URW"
19,pl_defence_07_03_2025_n03.txt,"External affairs, Defense"
20,pl_defence_07_03_2025_n04.txt,"URW, Defense"
21,pl_defence_07_03_2025_n05.txt,"URW, Defense"
22,pl_defence_07_03_2025_n06.txt,"External affairs, Defense"
23,pl_defence_07_03_2025_n07.txt,"Defense, External affairs"
24,pl_defence_07_03_2025_n08.txt,Defense
25,pl_defence_22_05_2024_n01.txt,"Defense, External affairs"
26,pl_defence_22_05_2024_n02.txt,Defense
27,pl_defence_22_05_2024_n03.txt,Defense
28,pl_defence_22_05_2024_n04.txt,Defense
29,pl_eu_03_04_2025_n01.txt,"EU, Defense, External affairs"
30,pl_eu_03_04_2025_n02.txt,"EU, Migration, Defense, External affairs"
31,pl_eu_03_04_2025_n03.txt,"EU, Migration, Defense, External affairs"
32,pl_eu_03_04_2025_n04.txt,"EU, Migration, Defense, External affairs"
33,pl_eu_03_04_2025_n05.txt,"EU, Migration, Defense, External affairs"
34,pl_eu_03_04_2025_n06.txt,"EU, Migration, Defense, External affairs"
35,pl_eu_03_04_2025_n07.txt,"EU, Migration, External affairs, Climate change, URW"
36,pl_eu_03_04_2025_n08.txt,"EU, Migration, External affairs, Climate change"
37,pl_eu_12_06_2024_n01.txt,"EU, Defense"
38,pl_eu_12_06_2024_n02.txt,"EU, Defense, Climate change"
39,pl_eu_12_06_2024_n03.txt,"EU, Defense, Climate change"
40,pl_eu_12_06_2024_n04.txt,"EU, Defense, Climate change, Migration"
41,pl_hate_speech_act_19_12_2024_n01.txt,Discussion about Hate speech
42,pl_hate_speech_act_19_12_2024_n02.txt,Discussion about Hate speech
43,pl_hate_speech_act_19_12_2024_n03.txt,Discussion about Hate speech
44,pl_hate_speech_act_19_12_2024_n04.txt,Discussion about Hate speech
45,pl_hate_speech_act_19_12_2024_n07.txt,Discussion about Hate speech
46,pl_hate_speech_act_19_12_2024_n08.txt,Discussion about Hate speech
47,pl_hate_speech_act_19_12_2024_n09.txt,Discussion about Hate speech
48,pl_hate_speech_act_19_12_2024_n10.txt,Discussion about Hate speech
49,pl_statements_20_02_2025_n01.txt,"Climate change, EU"
50,pl_statements_20_02_2025_n02.txt,"URW, EU, History"
51,pl_statements_20_02_2025_n03.txt,"EU, History"
52,pl_statements_20_02_2025_n04.txt,Other
